lat,long,time,date,area(place),roadtype,temperature,weather,vehicletype,rain,humidity,accidents,traffic
17.669886,83.214726,10:42,2021-03-09,Gopalapatnam,Local Road,27.1,Light Rain,Car,0.718,60.8,1,44.2
17.779982,83.163207,14:30,2020-01-30,Pendurthi,Local Road,26.7,Clear,Two-wheeler,0.267,77.3,1,59.3
17.807345,83.331521,17:45,2022-02-17,Gajuwaka,State Highway,27.1,Overcast,Car,0.245,82.4,1,79.5
17.616258,83.180326,04:56,2019-09-03,Kailasagiri,State Highway,30.3,Clear,Two-wheeler,1.14,85.0,1,8.2
17.812641,83.225694,11:25,2020-07-21,Anakapalle,Minor Arterial,26.1,Overcast,Car,1.08,73.3,3,43.0
17.659683,83.283118,22:42,2019-02-07,Seethammadhara,Local Road,30.3,Clear,Car,0.968,76.8,1,55.4
17.622768,83.291104,12:00,2019-09-02,MVP Colony,Major Arterial,28.0,Heavy Rain,Truck,0.032,60.2,1,40.7
17.93211,83.300146,20:16,2019-01-21,Bheemunipatnam,Minor Arterial,26.2,Clear,Two-wheeler,0.072,72.3,4,58.8
17.937971,83.191564,15:49,2022-02-07,Kurmannapalem,State Highway,29.1,Drizzle,Car,0.029,91.5,1,59.8
17.882939,83.244934,09:07,2023-06-18,NAD Junction,Major Arterial,27.4,Overcast,Auto-rickshaw,0.567,79.6,3,50.7
17.706615,83.304299,18:24,2020-01-29,MVP Colony,Major Arterial,26.1,Clear,Two-wheeler,0.125,71.9,1,84.5
17.634185,83.392455,18:08,2022-12-04,Siripuram,Major Arterial,27.9,Light Rain,Two-wheeler,0.084,47.4,1,79.1
17.839482,83.331908,06:57,2021-09-13,Gopalapatnam,National Highway,28.0,Clear,Two-wheeler,4.933,87.8,1,7.4
17.754053,83.380651,09:08,2023-07-30,Seethammadhara,National Highway,26.6,Clear,Car,1.712,61.4,1,59.1
17.642713,83.340553,09:23,2023-11-02,MVP Colony,Minor Arterial,25.6,Light Rain,Two-wheeler,0.26,68.9,1,40.2
17.773312,83.297929,07:16,2019-01-08,Bheemunipatnam,Minor Arterial,28.3,Light Rain,Car,0.271,72.2,1,60.6
17.612036,83.198006,17:09,2023-01-07,Kailasagiri,Major Arterial,28.6,Light Rain,Two-wheeler,0.459,70.0,1,70.9
17.918262,83.316671,12:27,2019-11-24,Gopalapatnam,Local Road,29.2,Light Rain,Two-wheeler,0.292,70.8,1,13.9
17.690573,83.305845,22:27,2019-10-17,Gajuwaka,State Highway,29.1,Overcast,Car,0.003,78.8,1,20.9
17.831883,83.300617,12:51,2023-11-22,MVP Colony,Major Arterial,32.0,Drizzle,Car,0.061,75.6,1,40.0
17.709099,83.272446,14:59,2020-05-25,Gajuwaka,Local Road,27.7,Clear,Two-wheeler,0.904,82.2,1,37.9
17.782024,83.282164,11:51,2021-06-30,Malkapuram,Local Road,32.8,Heavy Rain,Two-wheeler,1.584,64.8,1,61.3
17.791349,83.233611,00:36,2019-12-27,Anakapalle,Local Road,24.0,Drizzle,Car,0.014,69.5,1,36.9
17.664699,83.279828,08:13,2023-06-11,MVP Colony,National Highway,31.7,Heavy Rain,Two-wheeler,0.943,78.3,2,54.5
17.939355,83.199389,03:55,2020-12-16,Dwaraka Nagar,State Highway,29.5,Clear,Two-wheeler,0.791,53.7,3,0.0
17.871296,83.351294,20:38,2019-08-07,Malkapuram,Minor Arterial,26.5,Overcast,Car,7.408,51.7,1,55.1
17.928825,83.196444,15:55,2020-02-10,Pendurthi,Major Arterial,20.7,Drizzle,Car,0.113,80.3,1,58.8
17.91319,83.171242,18:25,2021-01-22,NAD Junction,National Highway,23.5,Overcast,Two-wheeler,0.447,72.7,1,77.2
17.809265,83.259062,18:21,2021-07-11,Anakapalle,Minor Arterial,26.1,Clear,Two-wheeler,1.345,60.9,1,71.2
17.922656,83.314577,10:47,2021-04-11,Kailasagiri,Major Arterial,32.3,Clear,Two-wheeler,0.142,57.3,1,55.4
17.630972,83.259429,22:09,2023-11-29,Gajuwaka,Major Arterial,26.4,Clear,Car,0.106,61.9,1,44.4
17.668594,83.219189,12:08,2023-07-03,Gopalapatnam,State Highway,27.9,Light Rain,Car,3.34,89.6,1,41.0
17.61583,83.289543,19:34,2023-11-27,Malkapuram,National Highway,26.7,Clear,Two-wheeler,0.194,77.6,1,84.5
17.713866,83.236751,19:30,2021-03-04,Dwaraka Nagar,State Highway,28.5,Clear,Truck,0.081,93.3,1,84.2
17.736037,83.383217,16:37,2022-05-28,Gopalapatnam,Minor Arterial,26.8,Light Rain,Cycle,0.135,68.8,2,55.5
17.694972,83.380661,21:28,2020-08-17,Seethammadhara,Major Arterial,27.2,Storm,Cycle,0.881,83.3,4,31.9
17.890058,83.275593,19:53,2019-04-17,Dwaraka Nagar,Local Road,32.6,Drizzle,Cycle,0.12,89.8,1,81.8
17.724864,83.231971,17:52,2020-08-03,Dwaraka Nagar,State Highway,35.6,Light Rain,Truck,0.56,87.5,1,59.0
17.698327,83.334283,21:22,2020-08-31,Anakapalle,Local Road,30.5,Light Rain,Two-wheeler,1.503,70.0,1,35.9
17.789944,83.159178,16:45,2023-10-14,Bheemunipatnam,Major Arterial,27.4,Clear,Two-wheeler,0.011,65.4,1,62.9
17.649323,83.268692,13:19,2022-08-02,Rushikonda,Major Arterial,26.1,Light Rain,Truck,3.259,71.7,1,56.1
17.880769,83.234081,06:51,2023-11-08,Bheemunipatnam,Major Arterial,29.4,Clear,Two-wheeler,0.107,69.9,1,18.0
17.626093,83.380134,18:24,2019-01-08,Kurmannapalem,Major Arterial,25.5,Drizzle,Two-wheeler,0.323,67.9,1,82.7
17.94541,83.153001,19:54,2021-03-16,Gajuwaka,Minor Arterial,28.4,Clear,Two-wheeler,0.261,72.9,1,92.5
17.870286,83.288204,14:49,2019-07-08,Gajuwaka,Major Arterial,29.0,Light Rain,Car,0.958,84.9,1,48.5
17.66955,83.335166,05:27,2019-03-22,MVP Colony,Minor Arterial,27.4,Clear,Two-wheeler,0.044,73.0,1,16.9
17.601933,83.271254,17:58,2019-04-18,Anakapalle,Major Arterial,33.9,Clear,Two-wheeler,0.165,78.1,3,66.5
17.885411,83.171351,16:43,2022-09-06,Malkapuram,Minor Arterial,27.7,Clear,Car,4.437,76.2,1,71.2
17.8474,83.393115,07:37,2023-05-22,Siripuram,Minor Arterial,29.7,Overcast,Cycle,0.041,88.6,2,38.8
17.855153,83.279503,09:46,2020-11-16,Anakapalle,State Highway,26.5,Overcast,Car,0.059,75.0,1,57.1
17.869945,83.303547,18:24,2019-12-12,Malkapuram,Local Road,24.1,Overcast,Car,0.993,77.1,1,88.5
17.625916,83.209152,18:14,2019-11-24,MVP Colony,Local Road,23.7,Light Rain,Two-wheeler,0.446,73.3,1,85.5
17.725463,83.270875,06:50,2020-07-08,Gopalapatnam,Ghat Road,29.8,Overcast,Two-wheeler,1.196,76.7,1,23.0
17.640554,83.257287,14:59,2023-09-19,Gajuwaka,State Highway,32.4,Clear,Car,1.78,80.1,2,42.7
17.902086,83.168724,15:07,2019-10-29,Kailasagiri,Local Road,34.4,Overcast,Truck,0.117,46.9,1,60.2
17.818154,83.17654,05:35,2019-07-19,Rushikonda,Local Road,31.4,Light Rain,Auto-rickshaw,0.777,80.9,4,27.8
17.715814,83.359368,02:31,2021-06-11,Gajuwaka,Minor Arterial,29.6,Overcast,Car,0.878,54.2,1,19.8
17.622245,83.209955,16:43,2022-12-13,Gopalapatnam,Minor Arterial,28.9,Clear,Two-wheeler,0.107,62.6,1,45.8
17.708844,83.19874,13:06,2021-11-28,MVP Colony,Local Road,31.9,Overcast,Car,0.225,78.0,1,40.7
17.713814,83.276228,17:55,2023-10-22,Gopalapatnam,Ghat Road,26.9,Light Rain,Two-wheeler,0.08,68.6,1,64.2
17.855362,83.342187,17:22,2019-11-03,Dwaraka Nagar,Minor Arterial,33.4,Clear,Two-wheeler,0.037,68.3,1,79.8
17.823145,83.165487,10:40,2021-10-24,NAD Junction,Major Arterial,27.9,Light Rain,Car,0.245,72.6,1,27.9
17.910524,83.294202,13:52,2023-07-15,Gopalapatnam,Local Road,28.8,Light Rain,Car,0.048,92.4,1,39.8
17.765275,83.179803,01:31,2022-01-05,Gopalapatnam,National Highway,28.1,Clear,Bus,0.254,59.3,2,0.0
17.641858,83.159115,07:19,2020-04-12,Bheemunipatnam,Major Arterial,34.4,Clear,Car,0.061,70.2,1,45.6
17.849636,83.163186,04:54,2019-06-28,Dwaraka Nagar,Ghat Road,28.0,Light Rain,Auto-rickshaw,0.317,88.9,1,15.2
17.866275,83.358541,15:02,2020-10-06,Pendurthi,Local Road,29.2,Clear,Two-wheeler,0.095,67.7,1,63.4
17.796447,83.179493,22:38,2023-10-31,Rushikonda,Local Road,24.3,Clear,Two-wheeler,0.025,68.2,1,38.1
17.869839,83.161288,08:00,2019-10-03,Pendurthi,Minor Arterial,27.4,Clear,Truck,0.097,77.0,3,71.7
17.772828,83.259475,06:28,2022-03-21,Kurmannapalem,Major Arterial,31.1,Clear,Two-wheeler,0.022,66.2,1,12.3
17.782956,83.360998,18:27,2022-04-02,MVP Colony,Ghat Road,28.5,Clear,Two-wheeler,0.132,86.2,3,86.9
17.749639,83.215602,16:31,2022-08-06,Bheemunipatnam,Major Arterial,27.9,Clear,Car,0.291,68.9,1,68.9
17.608897,83.255428,17:00,2022-11-02,Rushikonda,Local Road,27.9,Drizzle,Truck,0.028,67.4,2,78.5
17.637762,83.159981,16:03,2020-09-12,Pendurthi,Minor Arterial,26.2,Drizzle,Car,1.298,63.3,1,66.8
17.611,83.26227,07:29,2020-09-29,Vizag Port,State Highway,31.1,Overcast,Car,1.472,76.4,2,49.0
17.822744,83.294403,20:18,2023-11-11,MVP Colony,National Highway,29.5,Clear,Car,0.001,65.8,1,43.3
17.710025,83.292727,14:53,2022-08-26,Vizag Port,Major Arterial,30.7,Overcast,Car,0.736,75.4,1,40.0
17.778,83.233107,13:24,2021-07-18,Dwaraka Nagar,Minor Arterial,31.2,Heavy Rain,Bus,0.122,70.1,1,36.1
17.917648,83.228883,05:22,2022-11-13,Pendurthi,State Highway,28.1,Clear,Car,0.268,68.6,1,22.2
17.687252,83.176656,21:56,2023-08-09,Anakapalle,Major Arterial,32.7,Drizzle,Two-wheeler,1.716,67.0,1,31.9
17.743634,83.2417,06:51,2023-11-23,MVP Colony,Minor Arterial,24.4,Drizzle,Car,0.01,65.5,1,15.2
17.864443,83.174874,01:09,2019-07-02,Vizag Port,Minor Arterial,27.5,Overcast,Two-wheeler,4.252,65.2,1,11.4
17.680079,83.341649,15:53,2022-08-22,MVP Colony,National Highway,28.4,Light Rain,Two-wheeler,4.827,62.7,1,64.4
17.626943,83.391569,05:34,2019-03-13,Vizag Port,Minor Arterial,22.8,Light Rain,Two-wheeler,0.081,96.1,1,2.7
17.701413,83.392519,20:00,2022-05-27,Pendurthi,National Highway,35.2,Clear,Two-wheeler,0.028,78.0,2,49.2
17.656427,83.366268,21:23,2020-12-19,Bheemunipatnam,National Highway,25.4,Clear,Two-wheeler,0.024,46.9,3,44.4
17.925394,83.300198,02:35,2022-04-11,Scindia,State Highway,31.2,Overcast,Car,0.367,76.2,4,3.6
17.882842,83.325216,11:31,2023-08-04,Rushikonda,Minor Arterial,30.3,Light Rain,Car,0.922,82.4,1,37.7
17.821691,83.221301,15:15,2022-07-19,Gajuwaka,National Highway,35.0,Clear,Two-wheeler,0.014,57.1,2,60.8
17.905011,83.307693,00:51,2020-12-26,Seethammadhara,National Highway,23.0,Clear,Two-wheeler,0.519,73.4,1,17.2
17.881285,83.263912,18:55,2023-01-31,MVP Colony,National Highway,29.8,Light Rain,Car,0.18,80.4,2,100.0
17.6653,83.270504,00:57,2019-09-26,NAD Junction,Local Road,27.2,Drizzle,Two-wheeler,1.759,53.6,1,18.8
17.912396,83.339444,19:02,2021-11-09,Scindia,Local Road,29.9,Clear,Car,0.347,62.6,3,67.1
17.78877,83.22048,22:41,2020-07-31,Bheemunipatnam,National Highway,30.8,Light Rain,Car,2.56,71.6,1,43.3
17.882604,83.22951,23:08,2021-09-21,MVP Colony,Major Arterial,29.3,Heavy Rain,Bus,0.118,58.5,1,18.1
17.913632,83.38116,15:52,2021-03-25,MVP Colony,Local Road,28.2,Light Rain,Two-wheeler,0.171,70.9,1,70.7
17.711301,83.164056,19:29,2023-03-07,Gajuwaka,National Highway,24.8,Overcast,Car,0.238,80.9,1,80.0
17.638518,83.271409,07:20,2019-05-27,Rushikonda,National Highway,28.0,Clear,Car,0.018,78.6,1,53.7
17.679777,83.3782,10:45,2022-12-23,MVP Colony,National Highway,30.4,Clear,Car,0.05,72.1,1,51.2
17.749488,83.302591,19:47,2022-04-03,Vizag Port,Ghat Road,28.4,Clear,Auto-rickshaw,0.101,70.7,1,73.3
17.886305,83.286602,09:19,2021-06-08,Malkapuram,Local Road,29.3,Drizzle,Car,3.264,85.8,1,60.5
17.901256,83.212436,22:30,2019-11-06,Scindia,State Highway,31.9,Clear,Two-wheeler,0.38,67.6,1,8.0
17.602433,83.235819,19:42,2020-06-01,Seethammadhara,National Highway,24.1,Overcast,Car,2.286,70.6,1,82.3
17.778762,83.363012,15:19,2019-01-14,Kailasagiri,Local Road,31.9,Clear,Auto-rickshaw,0.927,78.6,1,47.0
17.746094,83.289805,15:21,2019-05-12,Gajuwaka,Major Arterial,34.8,Overcast,Auto-rickshaw,0.056,79.7,1,63.9
17.677738,83.278686,12:17,2021-01-24,Gopalapatnam,Minor Arterial,29.0,Clear,Cycle,0.126,83.8,1,35.8
17.641953,83.174895,08:33,2020-03-14,Malkapuram,Major Arterial,26.2,Clear,Two-wheeler,0.118,73.9,1,80.8
17.718165,83.154007,06:54,2021-01-12,Gajuwaka,Local Road,29.6,Clear,Two-wheeler,0.227,90.3,2,29.5
17.930018,83.390921,09:00,2021-01-09,NAD Junction,State Highway,27.5,Light Rain,Two-wheeler,0.38,78.8,1,36.8
17.713121,83.244247,13:38,2023-08-25,Seethammadhara,Local Road,25.9,Light Rain,Two-wheeler,1.015,79.4,1,32.3
17.781577,83.300803,06:30,2021-03-05,Dwaraka Nagar,State Highway,28.4,Light Rain,Two-wheeler,0.135,92.2,1,10.9
17.846057,83.169929,09:34,2019-09-20,Gajuwaka,National Highway,25.4,Light Rain,Truck,1.406,66.3,1,63.2
17.72727,83.320779,15:51,2020-10-04,MVP Colony,Minor Arterial,24.5,Fog,Car,0.271,66.3,1,66.3
17.940124,83.383142,17:32,2022-06-02,Vizag Port,Local Road,26.4,Heavy Rain,Car,0.337,63.8,2,73.2
17.936857,83.293916,15:10,2019-09-15,Scindia,Major Arterial,22.8,Overcast,Two-wheeler,4.9,61.9,1,51.2
17.688124,83.181529,16:29,2022-06-11,Dwaraka Nagar,National Highway,31.6,Light Rain,Two-wheeler,0.145,81.6,3,58.8
17.774037,83.29543,19:04,2022-09-21,Malkapuram,Minor Arterial,29.6,Drizzle,Car,0.035,77.9,1,74.6
17.705307,83.341587,20:00,2020-02-13,Kailasagiri,Minor Arterial,25.4,Clear,Car,0.089,61.3,1,60.0
17.699694,83.251604,07:17,2021-09-01,Malkapuram,Local Road,26.5,Light Rain,Car,1.813,61.1,2,58.9
17.61291,83.369959,07:45,2021-11-13,Anakapalle,Major Arterial,30.3,Light Rain,Two-wheeler,0.764,82.8,1,38.3
17.813348,83.312171,07:39,2019-09-28,Dwaraka Nagar,National Highway,31.8,Heavy Rain,Car,4.049,62.9,1,31.9
17.775938,83.374812,23:53,2022-01-23,Rushikonda,Minor Arterial,28.3,Light Rain,Two-wheeler,0.233,78.3,2,21.2
17.618018,83.305876,07:18,2019-05-22,Pendurthi,Major Arterial,30.2,Overcast,Two-wheeler,0.115,76.6,2,45.5
17.697526,83.182822,15:46,2023-09-14,Vizag Port,Local Road,23.1,Heavy Rain,Car,1.359,72.9,1,42.5
17.917893,83.227423,11:58,2023-10-08,Gajuwaka,Minor Arterial,27.0,Drizzle,Two-wheeler,0.693,55.5,1,54.2
17.683847,83.200449,18:40,2021-06-20,Gajuwaka,Minor Arterial,24.6,Fog,Auto-rickshaw,0.463,76.5,1,89.3
17.650713,83.377207,12:25,2021-08-31,Gajuwaka,Major Arterial,24.5,Clear,Car,0.976,43.5,1,41.5
17.771308,83.3401,09:35,2022-01-09,Gopalapatnam,Major Arterial,31.7,Drizzle,Car,0.236,74.4,1,52.7
17.944978,83.3191,17:40,2019-10-01,Kailasagiri,Minor Arterial,27.6,Overcast,Two-wheeler,0.002,66.6,1,55.2
17.684719,83.225242,11:17,2019-10-03,Seethammadhara,Major Arterial,28.4,Clear,Two-wheeler,0.096,53.8,2,46.6
17.835247,83.196011,18:05,2020-04-09,Dwaraka Nagar,Local Road,32.2,Clear,Car,0.168,83.9,1,77.6
17.866567,83.339113,15:27,2022-05-16,Kailasagiri,Major Arterial,30.5,Light Rain,Auto-rickshaw,0.462,67.0,1,52.9
17.683173,83.268539,14:20,2022-08-12,Dwaraka Nagar,Major Arterial,28.2,Clear,Two-wheeler,7.242,89.3,1,48.5
17.854876,83.206447,12:56,2021-11-28,Rushikonda,State Highway,28.1,Clear,Car,0.163,73.0,1,50.5
17.728724,83.304155,19:57,2019-10-15,Vizag Port,Minor Arterial,26.7,Drizzle,Two-wheeler,0.579,67.7,1,72.8
17.821307,83.160083,15:35,2022-02-21,Dwaraka Nagar,National Highway,28.8,Clear,Car,0.021,87.1,1,56.7
17.821735,83.231543,09:46,2021-05-25,Dwaraka Nagar,Major Arterial,30.7,Clear,Car,0.242,59.4,1,44.3
17.787521,83.267139,18:41,2022-07-30,Malkapuram,Minor Arterial,28.3,Overcast,Two-wheeler,0.768,75.5,1,84.2
17.631601,83.18699,17:07,2021-05-27,Anakapalle,Major Arterial,31.0,Clear,Car,0.278,63.5,1,71.3
17.892356,83.396164,21:11,2019-06-29,Gopalapatnam,Local Road,33.9,Overcast,Cycle,3.034,83.1,1,33.6
17.712273,83.202274,07:25,2022-01-25,Rushikonda,Minor Arterial,31.0,Clear,Car,0.011,76.4,1,42.0
17.665281,83.182588,14:14,2022-04-29,Seethammadhara,Ghat Road,33.3,Light Rain,Two-wheeler,0.548,56.2,1,60.2
17.614271,83.200884,09:58,2022-01-02,Vizag Port,Minor Arterial,29.4,Clear,Two-wheeler,0.014,67.2,1,56.5
17.806813,83.342265,10:49,2020-03-22,Vizag Port,Minor Arterial,29.3,Heavy Rain,Cycle,0.28,78.5,2,31.1
17.837148,83.256376,22:53,2021-02-23,Pendurthi,State Highway,27.2,Light Rain,Car,0.014,83.1,1,41.3
17.605806,83.291354,15:22,2023-03-01,Dwaraka Nagar,Major Arterial,31.4,Drizzle,Two-wheeler,0.396,62.9,2,58.7
17.779233,83.155252,07:13,2020-07-14,MVP Colony,National Highway,29.0,Light Rain,Two-wheeler,0.344,55.0,3,47.2
17.679274,83.158608,22:26,2020-04-28,Anakapalle,Minor Arterial,32.8,Drizzle,Auto-rickshaw,0.114,73.0,1,37.8
17.82581,83.261456,06:44,2021-04-28,Vizag Port,Major Arterial,30.1,Light Rain,Car,0.539,93.3,1,20.5
17.661028,83.354164,06:01,2020-12-22,Kurmannapalem,Minor Arterial,25.4,Drizzle,Two-wheeler,0.314,62.3,1,18.5
17.841828,83.37131,07:39,2019-04-26,MVP Colony,State Highway,34.4,Clear,Two-wheeler,0.308,79.5,1,42.7
17.735357,83.171677,22:28,2020-06-18,MVP Colony,Minor Arterial,28.4,Heavy Rain,Auto-rickshaw,2.162,48.5,1,32.2
17.927855,83.284591,13:03,2022-01-26,MVP Colony,Major Arterial,26.6,Clear,Car,0.169,100.0,1,41.5
17.648132,83.378307,12:19,2022-09-13,MVP Colony,Minor Arterial,29.0,Clear,Two-wheeler,4.537,60.3,1,43.7
17.719373,83.246993,08:14,2020-02-11,Gopalapatnam,Local Road,27.7,Light Rain,Car,0.356,80.7,2,66.3
17.639716,83.357391,11:41,2022-08-29,Kurmannapalem,Minor Arterial,32.6,Overcast,Two-wheeler,0.87,53.9,1,30.3
17.923643,83.183424,19:37,2023-09-22,Gopalapatnam,State Highway,26.9,Heavy Rain,Car,2.035,75.4,1,78.6
17.907069,83.383849,20:06,2020-11-24,Gopalapatnam,Minor Arterial,29.3,Clear,Two-wheeler,1.254,62.9,1,57.8
17.69028,83.337856,21:48,2022-03-17,Bheemunipatnam,Major Arterial,31.3,Clear,Two-wheeler,0.41,80.8,1,36.9
17.830994,83.385334,08:28,2022-09-27,Dwaraka Nagar,Local Road,30.0,Light Rain,Two-wheeler,0.002,68.3,1,54.7
17.886028,83.319154,10:45,2020-05-09,Seethammadhara,Local Road,32.6,Drizzle,Two-wheeler,0.268,80.8,2,38.5
17.79432,83.240851,13:47,2021-08-05,NAD Junction,Major Arterial,26.5,Light Rain,Two-wheeler,3.422,83.0,1,38.7
17.785378,83.384545,17:35,2019-01-23,MVP Colony,Local Road,28.4,Clear,Two-wheeler,0.079,66.8,1,68.9
17.684648,83.218892,10:35,2022-02-02,NAD Junction,State Highway,29.4,Clear,Two-wheeler,0.759,96.3,1,32.3
17.632586,83.233043,16:22,2023-08-26,Gopalapatnam,Local Road,28.5,Clear,Truck,0.769,65.3,1,66.7
17.914026,83.325202,08:06,2023-05-22,Dwaraka Nagar,State Highway,35.4,Clear,Truck,0.109,80.6,1,50.3
17.915146,83.341329,03:01,2023-12-31,Gajuwaka,Major Arterial,27.5,Light Rain,Two-wheeler,0.035,58.8,1,21.1
17.821586,83.382351,20:46,2023-12-30,Rushikonda,Local Road,28.1,Overcast,Car,0.02,69.0,3,54.6
17.71866,83.201201,06:38,2020-07-11,Gajuwaka,Major Arterial,35.7,Drizzle,Car,1.154,69.9,1,16.4
17.722223,83.3495,07:14,2023-06-05,Gajuwaka,Ghat Road,30.5,Drizzle,Two-wheeler,1.385,94.7,1,47.9
17.854084,83.334637,15:22,2021-07-29,Gopalapatnam,State Highway,25.1,Drizzle,Two-wheeler,0.686,65.9,1,49.8
17.913989,83.165949,20:20,2023-08-10,Pendurthi,Major Arterial,29.5,Clear,Car,1.399,88.5,1,62.4
17.91048,83.246806,17:25,2022-05-30,Bheemunipatnam,Local Road,33.4,Clear,Two-wheeler,0.1,66.0,1,87.9
17.872956,83.220691,15:33,2021-05-04,Kurmannapalem,National Highway,28.6,Clear,Car,0.405,92.1,1,58.6
17.824711,83.226123,12:30,2021-11-04,Bheemunipatnam,State Highway,27.1,Light Rain,Car,0.615,78.7,1,56.6
17.629449,83.395737,17:03,2021-06-09,Gopalapatnam,National Highway,24.4,Heavy Rain,Two-wheeler,1.35,71.2,1,71.7
17.65657,83.310694,21:44,2023-07-15,Seethammadhara,Ghat Road,28.9,Overcast,Car,2.77,72.0,1,37.1
17.914494,83.329419,18:42,2019-03-19,NAD Junction,Local Road,23.1,Clear,Two-wheeler,0.384,80.1,1,70.4
17.81225,83.394154,05:38,2022-09-07,MVP Colony,Major Arterial,25.6,Light Rain,Two-wheeler,1.876,71.4,1,30.0
17.603219,83.2443,13:05,2021-03-17,Gajuwaka,State Highway,23.9,Light Rain,Car,0.043,82.6,1,55.3
17.635515,83.35046,11:26,2022-06-18,Anakapalle,National Highway,29.0,Clear,Car,0.253,76.2,1,40.5
17.832226,83.258633,06:33,2021-11-07,Anakapalle,Minor Arterial,27.0,Overcast,Two-wheeler,0.504,59.0,1,12.7
17.601772,83.367383,21:56,2021-02-06,Siripuram,Ghat Road,29.2,Drizzle,Two-wheeler,0.062,74.5,1,39.3
17.656283,83.195164,11:47,2020-03-29,NAD Junction,Minor Arterial,22.5,Clear,Car,0.057,81.4,1,54.2
17.792057,83.386922,18:14,2023-01-06,Kailasagiri,Major Arterial,25.7,Overcast,Bus,0.036,70.2,1,73.3
17.842163,83.204693,18:43,2021-07-16,Dwaraka Nagar,Minor Arterial,30.4,Heavy Rain,Auto-rickshaw,1.124,68.5,1,84.7
17.828186,83.231555,00:30,2019-10-04,Gopalapatnam,Ghat Road,24.5,Clear,Two-wheeler,0.226,75.5,1,26.2
17.678494,83.339048,05:53,2022-12-18,Scindia,Minor Arterial,31.1,Clear,Two-wheeler,0.226,70.2,1,2.9
17.849263,83.248439,04:41,2023-02-08,Gajuwaka,Local Road,27.5,Clear,Auto-rickshaw,0.061,76.8,1,10.7
